Date : 2022-11-05 11:00:26
Directory : c:\Users\gasan\.vscode\flutter projects\database_trial
Total : 152 files,  8665 codes, 1851 comments, 965 blanks, all 11481 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         83 |      7,053 |      1,595 |        680 |      9,328 |
| XML        |         35 |        600 |         49 |         39 |        688 |
| C++        |         16 |        516 |        107 |        170 |        793 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Gradle     |          3 |         89 |          5 |         23 |        117 |
| YAML       |          2 |         51 |         76 |         20 |        147 |
| Swift      |          4 |         50 |          3 |         12 |         65 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        152 |      8,665 |      1,851 |        965 |     11,481 |
| android                                                                                                                                  |         12 |        162 |         52 |         36 |        250 |
| android\app                                                                                                                              |          8 |        119 |         52 |         24 |        195 |
| android\app\src                                                                                                                          |          7 |         65 |         47 |         11 |        123 |
| android\app\src\debug                                                                                                                    |          1 |          4 |          5 |          2 |         11 |
| android\app\src\main                                                                                                                     |          5 |         57 |         38 |          8 |        103 |
| android\app\src\main\res                                                                                                                 |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                  |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                   |         25 |        131 |          0 |         25 |        156 |
| assets\images                                                                                                                            |         25 |        131 |          0 |         25 |        156 |
| ios                                                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                               |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                            |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                          |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                    |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                      |         82 |      7,039 |      1,585 |        673 |      9,297 |
| lib\data                                                                                                                                 |          3 |        499 |        206 |         60 |        765 |
| lib\data\evler_data                                                                                                                      |          1 |        153 |         34 |         25 |        212 |
| lib\data\filter_data                                                                                                                     |          1 |          0 |         78 |         13 |         91 |
| lib\data\qovluqlar_data                                                                                                                  |          1 |        346 |         94 |         22 |        462 |
| lib\domain                                                                                                                               |         26 |        884 |        151 |        174 |      1,209 |
| lib\domain\api_clients                                                                                                                   |          4 |        456 |         97 |         54 |        607 |
| lib\domain\api_clients\filter_api                                                                                                        |          1 |        138 |         50 |         18 |        206 |
| lib\domain\entitites                                                                                                                     |         22 |        428 |         54 |        120 |        602 |
| lib\domain\entitites\details                                                                                                             |          2 |        105 |          4 |         10 |        119 |
| lib\domain\entitites\filter                                                                                                              |          2 |         72 |         14 |         15 |        101 |
| lib\domain\entitites\getter                                                                                                              |          2 |         54 |          4 |         10 |         68 |
| lib\domain\entitites\image_getter                                                                                                        |          2 |         18 |          4 |         10 |         32 |
| lib\domain\entitites\marks                                                                                                               |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\metros                                                                                                              |          2 |         19 |          4 |         11 |         34 |
| lib\domain\entitites\object                                                                                                              |          2 |         25 |          4 |         11 |         40 |
| lib\domain\entitites\qovluqlar                                                                                                           |          2 |         37 |          4 |          9 |         50 |
| lib\domain\entitites\seherler                                                                                                            |          2 |         20 |          4 |         11 |         35 |
| lib\domain\entitites\settlements_regions                                                                                                 |          2 |         31 |          4 |         11 |         46 |
| lib\domain\entitites\settlmenets                                                                                                         |          2 |         27 |          4 |         11 |         42 |
| lib\google_maps                                                                                                                          |          2 |         20 |          0 |          6 |         26 |
| lib\ui                                                                                                                                   |         49 |      5,517 |      1,217 |        420 |      7,154 |
| lib\ui\axtaris                                                                                                                           |         22 |      1,980 |        644 |        185 |      2,809 |
| lib\ui\axtaris\button_entity                                                                                                             |         12 |        752 |         48 |         88 |        888 |
| lib\ui\axtaris\button_entity\propertyTypeEntities                                                                                        |          4 |        280 |         16 |         33 |        329 |
| lib\ui\axtaris\list_tile                                                                                                                 |          6 |        480 |         35 |         41 |        556 |
| lib\ui\axtaris\nisangahlar                                                                                                               |          1 |        124 |         12 |          9 |        145 |
| lib\ui\bas_sehife                                                                                                                        |          4 |        412 |        135 |         23 |        570 |
| lib\ui\bottomNavigationBar                                                                                                               |          2 |        481 |        158 |         37 |        676 |
| lib\ui\deatils_screens                                                                                                                   |          3 |        734 |         26 |         34 |        794 |
| lib\ui\deatils_screens\details_images                                                                                                    |          2 |        135 |         12 |          8 |        155 |
| lib\ui\evler                                                                                                                             |          4 |        334 |         57 |         28 |        419 |
| lib\ui\evler\appbar                                                                                                                      |          1 |         51 |          1 |          4 |         56 |
| lib\ui\evler\elanlarList                                                                                                                 |          1 |        215 |         52 |         17 |        284 |
| lib\ui\evler\son elanar                                                                                                                  |          1 |         42 |          3 |          3 |         48 |
| lib\ui\navigation                                                                                                                        |          1 |         17 |          2 |          4 |         23 |
| lib\ui\profile                                                                                                                           |          5 |        606 |         28 |         26 |        660 |
| lib\ui\profile\daxil_ol                                                                                                                  |          3 |        491 |         23 |         15 |        529 |
| lib\ui\profile\reegister                                                                                                                 |          2 |        115 |          5 |         11 |        131 |
| lib\ui\secilmisler                                                                                                                       |          6 |        850 |        115 |         56 |      1,021 |
| lib\ui\secilmisler\papkalar                                                                                                              |          2 |        403 |         63 |         27 |        493 |
| lib\ui\secure_storage                                                                                                                    |          2 |        103 |         52 |         27 |        182 |
| linux                                                                                                                                    |          5 |        102 |         27 |         38 |        167 |
| linux\flutter                                                                                                                            |          2 |         16 |          9 |         11 |         36 |
| macos                                                                                                                                    |          5 |        449 |          3 |         12 |        464 |
| macos\Flutter                                                                                                                            |          1 |         18 |          3 |          4 |         25 |
| macos\Runner                                                                                                                             |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                  |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                     |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                      |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                                                  |         10 |        413 |         80 |        131 |        624 |
| windows\flutter                                                                                                                          |          2 |         17 |          9 |         11 |         37 |
| windows\runner                                                                                                                           |          8 |        396 |         71 |        120 |        587 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\gasan\.vscode\flutter projects\database_trial\README.md                                                                         | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\analysis_options.yaml                                                             | YAML       |          3 |         23 |          4 |         30 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\build.gradle                                                          | Gradle     |         54 |          5 |         13 |         72 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\debug\AndroidManifest.xml                                         | XML        |          4 |          5 |          2 |         11 |
| c:\Users\gasan\.vscode\flutter projects\database_trial\android\app\src\main\AndroidManifest.xml                                          | XML        |         31 |          6 |          2 |         39 |
